Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Text_Extracted,Confidence
IMG_0050_jpg.rf.4e03b70ab97e60c7fede569be2942ed9,Unknown,None,None,None,0.0
IMG_0050_jpg.rf.d26a43c1bae75de2882b94da4e9b3510,Unknown,None,None,None,0.0
IMG_0050_jpg.rf.e8b54db77ff3417734d86ad07bdbc481,Unknown,None,None,None,0.0
IMG_0055_jpg.rf.2286b2e289e83f768f1db192a669c573,Fire Incident,fire,1 fire region,None,0.44
IMG_0055_jpg.rf.baf7fb3bbfdacb5cd3b7d10e5336fb9c,Unknown,None,None,None,0.0
IMG_0055_jpg.rf.e1de21e8adb4a48d5c82c81c625feb50,Unknown,None,None,None,0.0
IMG_0057_JPG_jpg.rf.2833c9f094c643ad53dca8ec81d90703,Unknown,None,None,None,0.0
IMG_0057_JPG_jpg.rf.32ec0dd2fe768b8a1001ad83c7aae9a0,Unknown,None,None,None,0.0
IMG_0057_JPG_jpg.rf.5e13292433f3693a4dd15011f52a5d64,Unknown,None,None,None,0.0
IMG_0069_jpg.rf.1ef924b4981998a8033258bdf1caf29f,Unknown,None,None,None,0.0
IMG_0069_jpg.rf.2cd48d38a4ec0602116b88fa0cef409b,Unknown,None,None,None,0.0
IMG_0069_jpg.rf.3360a1360673e56ad2a8bb8fb0775412,Unknown,None,None,None,0.0
IMG_0069_jpg.rf.6165fe5f61e338cca9a999fa97215f3f,Unknown,None,None,None,0.0
IMG_0069_jpg.rf.6e3f3169216287c3546f70fce0d147e7,Fire Incident,fire,1 fire region,None,0.4
IMG_0069_jpg.rf.76b81f1d75dba70b21ce26fe061f5e14,Unknown,None,None,None,0.0
IMG_0069_jpg.rf.9541166c8ecdb6d4a595ecd954e28178,Unknown,None,None,None,0.0
IMG_0069_jpg.rf.b879c9fbc91517f2356ad964f36be229,Unknown,None,None,None,0.0
IMG_0069_jpg.rf.eb9c6bcfe4a68a33c9979d84f4807f5f,Unknown,None,None,None,0.0
IMG_0071_JPG_jpg.rf.0fb8894b58a4f8c1a0ce196440fcd5f8,Unknown,None,None,None,0.0
IMG_0071_JPG_jpg.rf.265242b0c7def8432fb262fe7465b4b9,Unknown,None,None,None,0.0
IMG_0071_JPG_jpg.rf.2c786cfa579364076d8192656425196a,Unknown,None,None,None,0.0
IMG_0071_JPG_jpg.rf.309fef2fb897b644babe5e633f7f1efc,Unknown,None,None,None,0.0
IMG_0071_JPG_jpg.rf.66051e17c44a1e83611238bfe31faae9,Unknown,None,None,None,0.0
IMG_0071_JPG_jpg.rf.fc61a68a4e303a659b33a35301cfc24c,Unknown,None,None,None,0.0
IMG_0087_jpg.rf.0247ff5ae5f2f72abb83d5f848cdb911,Unknown,None,None,None,0.0
IMG_0087_jpg.rf.1bfa2cfd62b2e7b17196ac536e3deab1,Unknown,None,None,None,0.0
IMG_0087_jpg.rf.2fd71d88b5328c2e801cc4eae5305f73,Unknown,None,None,None,0.0
IMG_0088_JPG_jpg.rf.772f4562302bc0be4aad9f6032468a1e,Unknown,None,None,None,0.0
IMG_0088_JPG_jpg.rf.b4e42125db38197bc57d76280b60c261,Unknown,None,None,None,0.0
IMG_0088_JPG_jpg.rf.f866d72754244a48803234d1e474cd50,Unknown,None,None,None,0.0
IMG_0094_jpg.rf.20b785bd87373bca192f25806f87ab4b,Unknown,None,None,None,0.0
IMG_0094_jpg.rf.363af681b821ca95d688b882bb0a4db2,Unknown,None,None,None,0.0
IMG_0094_jpg.rf.adc82fe9de668a559ba9a46ef94e2a66,Unknown,None,None,None,0.0
IMG_0095_jpg.rf.41e5faa83e1efc2f55fe68b0697f4b93,Unknown,None,None,None,0.0
IMG_0095_jpg.rf.4b7b4813089ac14e5cbdec305b7e7604,Unknown,None,None,None,0.0
IMG_0095_jpg.rf.9e84fa56dabe8950f31b3260f01fdfa6,Unknown,None,None,None,0.0
IMG_00980a5f319aec67_jpg.rf.27a398386dc4891d183082a131c559b8,Unknown,None,None,None,0.0
IMG_00980a5f319aec67_jpg.rf.bdabf338d13b39f2a72d17660e0b8f92,Unknown,None,None,None,0.0
IMG_00980a5f319aec67_jpg.rf.fd1dc95a23c0f31cf3cc558c617ba6ac,Unknown,None,None,None,0.0
IMG_0098_jpg.rf.4d4f2ae75e76ac06d5e1783b43fd0386,Unknown,None,None,None,0.0
IMG_0098_jpg.rf.6a923a1dac0b5c46352e100d0d37ed34,Unknown,None,None,None,0.0
IMG_0098_jpg.rf.734e6dbb9f472cf33c310d1bc8f0b34e,Unknown,None,None,None,0.0
IMG_0098_jpg.rf.82be7fc11b906188a46609f539e47816,Unknown,None,None,None,0.0
IMG_0098_jpg.rf.866749cb493bd7881f73f391dd04584a,Unknown,None,None,None,0.0
IMG_0098_jpg.rf.cca2e1695efea072a53cd1faf142337b,Unknown,None,None,None,0.0
IMG_0099_jpg.rf.a86181e273d70c8e4b7eda3440c2ff78,Unknown,None,None,None,0.0
IMG_0099_jpg.rf.bf69ed997e8632a44c5d99e8d72e1f55,Unknown,None,None,None,0.0
IMG_0099_jpg.rf.f966a66e403d62bb531d04596bda535b,Unknown,None,None,None,0.0
IMG_0102_jpg.rf.52388ecf7d14a7537a1ba76fb4f542c8,Fire Incident,fire,1 fire region,None,0.45
IMG_0102_jpg.rf.cbac77c7176cdd44eb56c94b5f1ac7e8,Unknown,None,None,None,0.0
IMG_0102_jpg.rf.fd61a23379f9866ee38614580fc81836,Unknown,None,None,None,0.0
IMG_0103_jpg.rf.0ec73dedfb3bf57a414af66139e04066,Unknown,None,None,None,0.0
IMG_0103_jpg.rf.25653e813a602ae2c9fef47c9795c114,Unknown,None,None,None,0.0
IMG_0103_jpg.rf.92da7a44cc99a1c433bd9411fbb2791e,Unknown,None,None,None,0.0
IMG_0103_jpg.rf.f1c8daa6f32384a11031896c1952dd1c,Unknown,None,None,None,0.0
IMG_0103_jpg.rf.f4d1f4cbfd9d7dce4339aa29505db079,Unknown,None,None,None,0.0
IMG_0103_jpg.rf.f83ac4342b465d17f448e3ab9af2ecb4,Unknown,None,None,None,0.0
IMG_0107_jpg.rf.0d0b37dac8ebd0d63c04adaa218cf46a,Unknown,None,None,None,0.0
IMG_0107_jpg.rf.1069ef54cea269bb9c2c060472b8c8ae,Unknown,None,None,None,0.0
IMG_0107_jpg.rf.4513566905675cad33d53730fba8b7be,Fire Incident,fire,1 fire region,None,0.45
IMG_0111_jpg.rf.29b871b6c48e4bf448f6b420737448fa,Unknown,None,None,None,0.0
IMG_0111_jpg.rf.4b7162a1c439d630d0498c23a10dddb6,Unknown,None,None,None,0.0
IMG_0111_jpg.rf.79c7400a0c272f0903da870d3ed21c8f,Unknown,None,None,None,0.0
IMG_0111_jpg.rf.7fc30a7c69560140316109242769284a,Unknown,None,None,None,0.0
IMG_0111_jpg.rf.869083b55f61997226f1d2812b4ba2d0,Unknown,None,None,None,0.0
IMG_0111_jpg.rf.995735d3e2a34f52d4746409c476c437,Unknown,None,None,None,0.0
IMG_0111_jpg.rf.9ef715d4a294f252812efe107ed0ee51,Unknown,None,None,None,0.0
IMG_0111_jpg.rf.c73854fe64c431b70fd54732a4d997db,Unknown,None,None,None,0.0
IMG_0111_jpg.rf.eda8a9c4e4f893b0608d4f4ed100f65e,Unknown,None,None,None,0.0
IMG_0112_JPG_jpg.rf.1d0f7389ac16e751df7bdbc1c369a9fc,Unknown,None,None,None,0.0
